sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0001766,cal,mpp_near,1.7763568394002505e-15,5.6843418860808015e-14,3.1128437267789046e-15,1.124358536860659e-16,3.1771477861748671e-15,3.3556626732708205e-15,2.6713603964274829e-15,3.4709987303508202e-16,5.1000870193718129e-16,25.483143229929979,0
pvext_0001767,cal,interior,0,0,2.1118491082923238e-16,2.2318974309074715e-16,2.3323518408484882e-16,0,2.9681792832911765e-16,1.6001552155590582e-16,2.0816681711721685e-16,6.196338534548655,0
pvext_0001776,cal,short_circuit,8.8817841970012523e-16,1.1102230246251565e-16,0,1.1107062944947407e-16,2.4910926570240348e-16,1.8638105423475758e-16,0,1.3002116061803271e-16,8.5261658844260069e-16,2.7257510208845228,0
pvext_0001777,cal,open_circuit,1.4432899320127035e-15,6.2172489379008766e-14,4.9128665134190146e-16,7.2333379400079216e-16,4.7464693776922786e-16,5.4944115383688277e-16,3.9135014271768032e-15,7.9512365401715083e-16,4.8121229223596629e-15,28.617190407625976,0
pvext_0001786,cal,mpp_near,1.7763568394002505e-15,0,3.0559577673078063e-15,2.2845663757294146e-16,2.9548322124281848e-15,2.9440069694461258e-15,2.7339168213594624e-15,1.3439881397054252e-16,1.0547118733938987e-15,19.738642091331695,0
pvext_0001787,cal,interior,1.7763568394002505e-15,2.8421709430404007e-14,0,0,0,0,1.6169547381910547e-16,0,1.3045120539345589e-15,14.199722569568904,0
pvext_0001796,cal,short_circuit,0,6.7762635780344027e-21,1.7070120700484204e-16,1.1116878009657584e-16,2.5306405078493985e-16,6.0214330107897077e-16,3.1982623587479956e-16,3.5509257112134822e-16,2.2638141361497333e-16,1.5072564797794745,0
pvext_0001797,cal,open_circuit,1.4363510381087963e-15,3.907985046680551e-14,5.4993621631175973e-16,1.780524210653451e-16,5.0971257071579294e-16,5.6572225268881577e-16,2.7502457348452404e-14,3.9644446011921056e-16,1.4224732503009818e-16,19.45496437519202,0
pvext_0001806,cal,mpp_near,0,3.5527136788005009e-15,5.7665947039282155e-16,2.3982758359479993e-16,7.6409955954729236e-16,6.177018239450306e-16,6.2217436931358749e-16,1.4261216137925162e-16,1.3877787807814457e-16,15.699898205934453,0
pvext_0001807,cal,interior,0,0,9.661359128190261e-16,0,9.6995636250572866e-16,9.8857232858114845e-16,1.0194656646130972e-15,2.0078592046790843e-16,2.3592239273284576e-16,19.059212442226357,0
pvext_0001816,cal,short_circuit,0,0,1.8647601113598961e-16,1.1104535981267487e-16,3.8436642721759798e-16,1.2441095914754089e-16,3.718922582491601e-16,2.185330736854936e-16,3.9334854817774101e-16,0.76807827491550329,0
pvext_0001817,cal,open_circuit,5.2909066017292616e-16,1.4113710200547303e-14,0,0,0,0,1.3131270310176295e-13,0,3.1225022567582528e-17,23.66111472703092,0
pvext_0001826,cal,mpp_near,1.7763568394002505e-15,2.8421709430404007e-14,2.0085688068509793e-15,3.9275995114110229e-16,2.0173984855638406e-15,2.2924178420259856e-15,2.2938136109672151e-15,0,2.779027008514845e-15,22.441464294952389,0
pvext_0001827,cal,interior,0,2.8421709430404007e-14,1.5258971104369612e-16,0,2.1519194487269661e-16,1.3394467600691124e-16,0,1.2850094455273396e-16,6.106226635438361e-16,14.58877770356686,0
pvext_0001836,cal,short_circuit,0,2.2204460492503131e-16,1.8555936450737531e-16,0,2.0383668359422579e-16,1.9361700807393112e-16,0,1.1453160470419788e-16,3.9725167599868882e-16,1.1566513695636704,0
pvext_0001837,cal,open_circuit,9.298117831235686e-15,2.3447910280083306e-13,7.596401576361448e-16,5.2038637147785461e-16,8.2026859340442338e-16,7.6524479316443418e-16,4.3609199667424063e-14,4.1159398454572017e-16,3.0531133177191805e-16,21.186652996001971,0
pvext_0001846,cal,mpp_near,1.7763568394002505e-15,1.1368683772161603e-13,1.8030201832851338e-15,0,1.8277994737696136e-15,1.8731580458840569e-15,1.672450306345533e-15,1.2234115435235163e-16,1.7486012637846216e-15,24.863181066291745,0
pvext_0001847,cal,interior,0,2.8421709430404007e-14,0,1.1111508923155145e-16,0,1.4116062039889417e-16,1.3002595320626996e-16,1.2011864658681579e-16,5.4123372450476381e-16,11.894873416381673,0
pvext_0001856,cal,short_circuit,0,0,1.624750970959006e-16,0,3.0715795346535401e-16,2.3805900591923979e-16,0,3.1282978980089859e-16,3.3328374782204406e-16,1.9146563865323973,0
pvext_0001857,cal,open_circuit,6.5628472742265773e-15,2.4333837625022808e-13,2.6431176577609424e-15,2.5709752597129519e-15,2.8023078911684323e-15,2.7891589812164933e-15,5.2382578081955829e-09,2.3182629632703986e-15,5.8564264548977008e-14,20.525935842111313,0
pvext_0001866,cal,mpp_near,1.7763568394002505e-15,0,0,1.2862212076958691e-16,0,0,1.9678102555602876e-16,0,1.1657341758564144e-15,19.947292950989347,0
pvext_0001867,cal,interior,8.8817841970012523e-16,4.2632564145606011e-14,1.6530577959464121e-15,2.408351371957411e-16,1.7121798835482127e-15,1.8750317315313073e-15,1.273876285978773e-15,1.1670471027796655e-16,2.6367796834847468e-16,17.382172560819438,0
pvext_0001876,cal,short_circuit,0,1.3877787807814457e-17,0,1.1103191227662307e-16,5.892536851850284e-16,2.8971513785202074e-16,1.8570109274637954e-16,0,1.0446287931897835e-16,0.24892205066044662,0
pvext_0001877,cal,open_circuit,8.2850393212652307e-15,4.134470543704083e-13,1.4863846944597977e-16,7.787965357121418e-16,1.6364034943936463e-16,3.2168750884695062e-16,1.2834485600461209e-13,7.8627009585170772e-16,4.1772141301521515e-15,29.573648091625508,0
pvext_0001886,cal,mpp_near,4.4408920985006262e-16,1.4210854715202004e-14,1.1391012810114833e-16,0,0,3.1557117510580311e-16,0,1.340750922359402e-16,3.1225022567582528e-16,23.812721058935104,0
pvext_0001887,cal,interior,0,2.8421709430404007e-14,2.8810754079877981e-16,1.1138801635644942e-16,7.6607385268217011e-16,9.5815406140434069e-16,1.2053970821504752e-16,2.5406880384973028e-16,7.7715611723760958e-16,12.15783357972299,0
pvext_0001896,cal,short_circuit,8.8817841970012523e-16,3.4694469519536142e-18,1.1307617907857228e-16,1.1115571365783876e-16,3.8239387473939519e-16,5.72519607135144e-16,2.19949492309392e-16,0,7.5026790335996907e-16,1.5014530415128884,0
pvext_0001897,cal,open_circuit,3.219646771412954e-15,1.5099033134902129e-13,1.7934631163246666e-16,3.4914406304163668e-16,0,4.2193933695032619e-16,9.7777944044355297e-15,2.750111565664689e-16,8.3266726846886741e-16,20.408308760144422,0
pvext_0001906,cal,mpp_near,1.7763568394002505e-15,5.6843418860808015e-14,8.8415860401523092e-16,2.6023126134726089e-16,7.2847052199497814e-16,9.2748754149478084e-16,1.0811987253196251e-15,0,2.9420910152566648e-15,20.458186140213868,0
pvext_0001907,cal,interior,8.8817841970012523e-16,7.1054273576010019e-15,1.4679427581401158e-16,0,2.3655079606234392e-16,1.7583476206010105e-16,0,1.3045764021204693e-16,8.3266726846886741e-16,7.564736520054125,0
pvext_0001916,cal,short_circuit,8.8817841970012523e-16,1.0842021724855044e-19,1.8625238446678723e-16,1.1182134911283531e-16,1.6855493011962161e-16,1.9746729799802438e-16,1.3487643648074081e-16,0,5.8980598183211441e-16,1.841706951798554,0
pvext_0001917,cal,open_circuit,7.0776717819853729e-16,2.2648549702353193e-14,7.3643850498922935e-16,0,6.3600640313632914e-16,7.8948933588675475e-16,8.8808237610417625e-15,0,2.2204460492503131e-16,18.890165723329503,0
pvext_0001926,cal,mpp_near,1.7763568394002505e-15,0,1.3430855291730149e-15,2.6366477166374478e-16,1.4538425168018937e-15,1.432010438001477e-15,1.0246058261767032e-15,1.8515177641707501e-16,4.6143644460983069e-16,26.711747553005559,0
pvext_0001927,cal,interior,1.7763568394002505e-15,5.6843418860808015e-14,0,1.1107908085568084e-16,4.8283146545905801e-16,5.7855933216638678e-16,0,1.4188194574639696e-16,1.4988010832439613e-15,10.719564013850826,0
pvext_0001936,cal,short_circuit,8.8817841970012523e-16,5.4210108624275222e-20,0,0,3.6127646917045061e-16,3.698164043204738e-16,2.9911003651433234e-16,0,7.0776717819853729e-16,2.3884100095751237,0
pvext_0001937,cal,open_circuit,2.6137945974280541e-15,8.6652907071993468e-14,0,1.2923058051618899e-16,0,0,8.3664647735003704e-13,1.549863377806068e-16,1.27675647831893e-15,23.886632363972979,0
pvext_0001946,cal,mpp_near,1.7763568394002505e-15,2.8421709430404007e-14,5.4833196574335124e-16,5.9892695977275196e-16,6.3096372969318223e-16,5.1342469991800206e-16,3.2549755030082733e-16,6.052733780526126e-16,1.9081958235744878e-17,17.094249268407928,0
pvext_0001947,cal,interior,8.8817841970012523e-16,2.8421709430404007e-14,0,1.5446312415594331e-16,1.4195949359575152e-16,0,4.700827135242526e-16,1.9359547569808661e-16,3.0184188481996443e-16,18.799387510673231,0
pvext_0001956,cal,short_circuit,0,0,2.2018402964387863e-16,1.1139804693554446e-16,1.1139214636179809e-16,1.3051677231437015e-16,0,0,8.5001450322863548e-17,0.69317366580060358,0
pvext_0001957,cal,open_circuit,3.9593437035911894e-15,1.4134570250345924e-13,2.0221886659605873e-16,4.6523938545786843e-16,0,1.1258904320067705e-16,8.7564214547674134e-11,5.4264897438920447e-16,7.4940054162198066e-16,28.75997315444538,0
pvext_0001966,cal,mpp_near,0,0,1.5007972077891055e-16,1.2833721116772473e-16,0,1.3184605152368248e-16,0,3.8650499603556301e-16,2.2204460492503131e-16,18.385543385554119,0
pvext_0001967,cal,interior,0,0,1.9705561292062234e-15,1.1280790761651836e-16,1.8740667036954456e-15,2.0170103740763594e-15,1.7417807908052699e-15,1.5297346852352071e-16,5.1000870193718129e-16,20.756824523142555,0
pvext_0001976,cal,short_circuit,0,0,0,1.1105743722583489e-16,0,0,1.3853334673762305e-16,2.1365803661362276e-16,8.8904578143811364e-18,1.2342774595506343,0
pvext_0001977,cal,open_circuit,6.0090821207836598e-15,2.3847590568948362e-13,9.9022001218556985e-16,1.1185209805590404e-15,9.8444698685523184e-16,1.2248941007644665e-15,1.0303506447767393e-13,1.2236874794429773e-15,8.3683060481121174e-15,19.418020513385049,0
pvext_0001986,cal,mpp_near,1.7763568394002505e-15,2.8421709430404007e-14,2.1520363785181299e-15,5.7066364842465268e-16,2.0941752164789124e-15,2.242301768679709e-15,1.8769649822491351e-15,4.6801877699581867e-16,8.6736173798840355e-18,18.168630605984365,0
pvext_0001987,cal,interior,4.4408920985006262e-16,0,2.2540825037345648e-16,1.113149651603521e-16,2.7115679501883039e-16,3.7509021593586268e-16,1.5770258894017689e-16,2.3677135291980002e-16,3.1918911957973251e-16,11.586325016552198,0
pvext_0001996,cal,short_circuit,1.7763568394002505e-15,1.3877787807814457e-17,1.8607600917904159e-16,0,1.7453819783345567e-16,4.2416664279805143e-16,1.2829787394814993e-16,2.4949466286625356e-16,1.7546727959505404e-15,1.8065449205879691,0
pvext_0001997,cal,open_circuit,8.36802144504184e-15,3.2131155375259013e-13,6.2246619791343966e-16,4.4411542140294163e-16,8.8547307562108331e-16,7.3689828537418041e-16,9.3904970243199223e-11,2.9310855196142105e-16,8.4654505627668186e-16,27.035849658251287,0
pvext_0002006,cal,mpp_near,3.5527136788005009e-15,5.6843418860808015e-14,2.6911521696676217e-15,1.1824577736203333e-15,2.5949303403774834e-15,2.8890167260448616e-15,2.813372569846306e-15,1.2876780929679649e-15,6.7341965337419651e-15,24.860481139595933,0
pvext_0002007,cal,interior,0,0,2.173311639163977e-16,1.1103427131250243e-16,2.1833031597878825e-16,0,1.4587317966137069e-16,1.8671643807887827e-16,4.0245584642661925e-16,10.414214669659176,0
pvext_0002016,cal,short_circuit,1.7763568394002505e-15,0,1.6358085104899226e-16,0,1.4986936425336904e-16,0,1.2064481462471655e-16,0,9.2720969790960339e-16,7.3257555296208503,0
pvext_0002017,cal,open_circuit,2.2382269648790754e-15,7.0443650912466182e-14,0,3.2505000350401993e-16,0,2.9965971423587301e-16,9.0331849131937064e-13,3.5171077189690451e-16,1.1102230246251565e-16,20.442195263099588,0
pvext_0002026,cal,mpp_near,1.7763568394002505e-15,1.1368683772161603e-13,2.5602617219944317e-15,2.4581996503388052e-16,2.6250425255382912e-15,2.8881170190220884e-15,2.1974452085796365e-15,0,1.0547118733938987e-15,22.756895800660029,0
