sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0000034,ordinary,0.67772593647614654,2.9714864751749919,3.040131447969574,3.040131447969574,0,0
kepler_0000035,ordinary,0.45573060436444218,1.4596601534693112,1.8920724850340098,1.8920724850340098,0,0
kepler_0000036,difficult,0.99999999979623111,3.2496090977163766e-05,0.057989818012561381,0.057989818012562235,8.5348395018058909e-16,5.4887734982078662e-19
kepler_0000037,high_e,0.94606826896937002,2.8668272962051011,3.0001737353343172,3.0001737353343172,0,4.4408920985006262e-16
kepler_0000038,ordinary,0.41137469032653512,1.7850605844256695,2.1330963735635855,2.1330963735635855,0,2.2204460492503131e-16
kepler_0000039,ordinary,0.59574331438361827,2.0538966804415963,2.4389072695592691,2.4389072695592691,0,0
kepler_0000040,difficult,0.99999994288900396,6.4014676941922982e-05,0.072695211890023592,0.072695211890023606,1.3877787807814457e-17,1.1207939958068902e-17
kepler_0000041,high_e,0.91602706977463733,2.2558125350946527,2.671083997843148,2.671083997843148,0,0
kepler_0000042,ordinary,0.71126714186037032,0.74581797285409512,1.4520787477503088,1.4520787477503088,0,0
kepler_0000043,ordinary,0.52745575461040828,2.2039991637529943,2.5138038069318562,2.5138038069318562,0,4.4408920985006262e-16
kepler_0000044,difficult,0.99999999910313808,5.2541367701934287e-05,0.068064016393651228,0.068064016393651172,5.5511151231257827e-17,6.6542908336297835e-18
kepler_0000045,high_e,0.98162584159269106,2.6729966917403729,2.9040182578189873,2.9040182578189873,0,4.4408920985006262e-16
kepler_0000046,ordinary,0.061902310419186611,1.9773403420216977,2.0327541518050292,2.0327541518050292,0,0
kepler_0000047,ordinary,0.41491966503700128,0.058105684129712468,0.099197004477227971,0.099197004477227971,0,0
kepler_0000048,difficult,0.99999999845340692,8.3192482574924081e-06,0.036820295311431238,0.036820295311429108,2.1302404284995191e-15,1.7669107279724705e-18
kepler_0000049,high_e,0.9670998734947398,0.041907323317134454,0.53484837849535538,0.53484837849535549,1.1102230246251565e-16,2.7755575615628914e-17
kepler_0000050,ordinary,0.082806467401511111,2.099094196848998,2.1675870255729173,2.1675870255729177,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0000051,ordinary,0.095071872899242418,2.9172689599480095,2.9366199319886839,2.9366199319886839,0,0
kepler_0000052,difficult,0.99999999992979627,0.00018956052701601923,0.10440275147625173,0.10440275147625186,1.2490009027033011e-16,2.1684043449710089e-19
kepler_0000053,high_e,0.9555399781952213,2.9658775495759437,3.0516784480035337,3.0516784480035337,0,0
kepler_0000054,ordinary,0.25149992864326426,0.2967791503180266,0.39312234531318146,0.39312234531318146,0,0
kepler_0000055,ordinary,0.24523765866537792,1.3669590389851216,1.6119886663553993,1.6119886663553995,2.2204460492503131e-16,2.2204460492503131e-16
kepler_0000056,difficult,0.99999999917583748,0.00023385498807437471,0.11197558257793766,0.11197558257793676,9.0205620750793969e-16,3.1712913545201005e-18
kepler_0000057,high_e,0.90513649395250739,0.87289255066271809,1.7616023485321159,1.7616023485321159,0,1.1102230246251565e-16
kepler_0000058,ordinary,0.16920426230392635,3.0699527486471183,3.0803147443773975,3.0803147443773979,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0000059,ordinary,0.79993588100040502,1.4602941656575803,2.1358765361252368,2.1358765361252368,0,0
kepler_0000060,difficult,0.99999995093547944,2.5246119506286474e-06,0.024739074401774756,0.024739074401777347,2.5916768731093498e-15,6.8779075317049188e-19
kepler_0000061,high_e,0.93772820100386101,1.5009353569481976,2.2377294625271595,2.2377294625271595,0,2.2204460492503131e-16
kepler_0000062,ordinary,0.87995871437019946,0.65479583899036531,1.5341642056709393,1.5341642056709393,0,0
kepler_0000063,ordinary,0.67753147075770992,2.2657019874460156,2.6094616795509156,2.6094616795509156,0,0
kepler_0000064,difficult,0.99999993899833961,8.3364214385770539e-07,0.017094821097910776,0.017094821097905093,5.68295410730002e-15,8.9573734172142261e-20
kepler_0000065,high_e,0.971282234189631,1.4187288131032203,2.2025480129967727,2.2025480129967727,0,2.2204460492503131e-16
