method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,275,1,0,1.2065139536332481e-06,9.8773165970455401e-07,1,0
fp32,276,0,0,8.749013353792634e-07,1.0070492038564252e-06,1,0
fp32,277,0,0,6.2208718487610781e-07,8.4079545858983806e-07,1,0
fp32,278,0,0,7.6513128721700241e-08,8.9956343015863023e-08,1,0
fp32,279,0,0,8.4762027663387585e-07,1.0207574471507699e-06,1,0
fp32,280,0,0,7.3354198670827486e-07,9.0689612007213921e-07,1,0
fp32,281,1,0,1.9155549400018401e-06,1.7584091016529367e-06,1,0
fp32,282,0,0,9.5181498593888136e-07,1.1837368909734678e-06,1,0
fp32,283,1,0,6.2538499712161411e-08,7.5539882489150736e-08,1,0
fp32,284,0,0,7.5422154877102798e-07,1.0054773861542964e-06,1,0
fp32,285,0,0,1.4938063652714106e-06,1.8348559860886092e-06,1,0
fp32,286,1,0,9.3276163060096451e-07,8.5488099226357922e-07,1,0
fp32,287,1,0,9.2093924264347038e-07,9.6726022986968629e-07,1,0
fp32,288,0,0,4.1883283197208243e-07,3.987072007500002e-07,1,0
fp32,289,0,0,6.6331534664954006e-07,9.0773022613627539e-07,1,0
fp32,290,1,0,1.6217799330142668e-06,1.9051299614348724e-06,1,0
fp32,291,1,0,9.6499311119657705e-07,1.1418902504001937e-06,1,0
fp32,292,0,0,1.5678099627436382e-06,1.842544320764735e-06,1,0
fp32,293,0,0,1.7155821288028505e-06,1.9421985224493092e-06,1,0
fp32,294,0,0,2.6191809610054406e-08,3.51143447541169e-07,1,0
fp32,295,0,0,1.1849414827125315e-07,1.3193691562376076e-07,1,0
fp32,296,1,0,1.1147532901212287e-06,1.2143960588524678e-06,1,0
fp32,297,0,0,9.6209248656720092e-07,1.1014826670207263e-06,1,0
fp32,298,0,0,1.5486151387911207e-06,1.3831819677167452e-06,1,0
fp32,299,0,0,1.6920337047032774e-06,1.5533491043779745e-06,1,0
fp32,300,1,0,3.784797106831661e-07,4.3628383869380404e-07,1,0
fp32,301,0,0,1.2993805587058205e-07,3.1812982315138072e-07,1,0
fp32,302,1,0,1.7131447371809827e-08,2.0416682772591256e-08,1,0
fp32,303,1,0,7.545105709105826e-07,7.6787268104213681e-07,1,0
fp32,304,0,0,1.4950911970679215e-06,1.8287755080539383e-06,1,0
fp32,305,0,0,3.0117042193467114e-07,1.3921404496963774e-06,1,0
fp32,306,0,0,2.4837306256131342e-07,2.8103179356221363e-07,1,0
fp32,307,0,0,2.2701509161393574e-07,2.1298081350908372e-07,1,0
fp32,308,1,0,1.204380127184379e-06,1.5590894572775115e-06,1,0
fp32,309,0,0,4.0507150922408641e-07,3.7845633995053944e-07,1,0
fp32,310,1,0,1.9267852469084801e-07,2.4094325608930675e-07,1,0
fp32,311,0,0,1.9013605716544646e-06,1.7436083658100897e-06,1,0
fp32,312,1,0,7.1460044859250615e-07,8.5434228152999844e-07,1,0
fp32,313,0,0,1.6707808212501618e-06,1.6553327292016968e-06,1,0
fp32,314,0,0,4.9685957037581829e-07,5.6961254439427615e-07,1,0
fp32,315,0,0,4.2165449265496591e-07,4.9781478233299826e-07,1,0
fp32,316,0,0,6.2720348381617441e-07,5.7520461502413136e-07,1,0
