domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
bem,512,adaptive_frozen_v1,e2e,0.13282847946554344,0.12006710899830361,0.14437775409984965,False
bem,512,adaptive_frozen_v1,kernel,0.13646248828418006,0.12303283965100645,0.14774211689831948,False
bem,512,adaptive_no_gradient_gate,e2e,0.13376636878778317,0.12029415322346065,0.14440318214935166,False
bem,512,adaptive_no_gradient_gate,kernel,0.1364335761872833,0.12300545157093234,0.14772935597814588,False
bem,512,fp32,e2e,1.7153108086387547,1.5278709231961587,1.81326986784965,True
bem,512,fp32,kernel,2.733546088821681,2.458585632481162,2.9514449133278604,True
bem,512,fp64,e2e,0.13639877635261854,0.12280049331834456,0.14758568749948028,False
bem,512,fp64,kernel,0.13939978021329394,0.1256655273504652,0.15090237910871568,False
bem,2048,adaptive_frozen_v1,e2e,0.2651230270459079,0.26370750257427367,0.267161402086476,False
bem,2048,adaptive_frozen_v1,kernel,0.2726639249231647,0.27209437107304063,0.27458637996344076,False
bem,2048,adaptive_no_gradient_gate,e2e,0.26494816130347826,0.262754205776061,0.26618539772472705,False
bem,2048,adaptive_no_gradient_gate,kernel,0.2730045312026547,0.2721929990073243,0.2737962527710399,False
bem,2048,fp32,e2e,3.140930657838365,3.1066770164729496,3.157342727984834,True
bem,2048,fp32,kernel,5.596613136451424,5.579922243701686,5.6307968453046,True
bem,2048,fp64,e2e,0.2729928578150504,0.27165387069617297,0.2752043206155137,False
bem,2048,fp64,kernel,0.28273488592628315,0.28197075954160894,0.28384084301922136,False
bem,8192,adaptive_frozen_v1,e2e,0.815533336911998,0.8130994056486658,0.8245570277412094,False
bem,8192,adaptive_frozen_v1,kernel,0.8869823941300867,0.882487053378797,0.905999337106275,False
bem,8192,adaptive_no_gradient_gate,e2e,0.8165249316982638,0.8152788702186835,0.8227023454066428,False
bem,8192,adaptive_no_gradient_gate,kernel,0.8846165611178666,0.8825881235678081,0.9095707487172249,False
bem,8192,fp32,e2e,5.883476441521113,5.813451769951871,6.2207102686875455,True
bem,8192,fp32,kernel,18.29219215928705,18.239512529362543,18.77095800502877,True
bem,8192,fp64,e2e,0.8506436410950377,0.8441670012131084,0.8583473031892284,False
bem,8192,fp64,kernel,0.9217746388087273,0.9174264670175133,0.9461826561265091,False
bem,32768,adaptive_frozen_v1,e2e,2.8496635728131423,2.834588710538485,2.858729712200758,True
bem,32768,adaptive_frozen_v1,kernel,3.650019442092188,3.6442919058822554,3.6617937184987728,True
bem,32768,adaptive_no_gradient_gate,e2e,2.845751729322196,2.8310954122034606,2.849912164085187,True
bem,32768,adaptive_no_gradient_gate,kernel,3.6484869733446033,3.5921103438907345,3.6677290221095404,True
bem,32768,fp32,e2e,10.94096730596689,10.857634062170046,11.020829914487903,True
bem,32768,fp32,kernel,75.0031979439603,74.48249544686902,75.1261442833788,True
bem,32768,fp64,e2e,2.9649810733208777,2.953308169985283,2.9762109708812083,True
bem,32768,fp64,kernel,3.832372804051138,3.8220796548630114,3.855699903115242,True
bem,131072,adaptive_frozen_v1,e2e,1.2692453288338843,1.2489929591005158,1.4707337978033734,True
bem,131072,adaptive_frozen_v1,kernel,1.6294990780137737,1.6008305133922351,1.8915978356784082,True
bem,131072,adaptive_no_gradient_gate,e2e,1.269979652658241,1.2496611545983032,1.4728324827458397,True
bem,131072,adaptive_no_gradient_gate,kernel,1.628378027413481,1.6009539708320268,1.8942051585616078,True
bem,131072,fp32,e2e,5.134943636711018,5.029586792672578,5.901363088975987,True
bem,131072,fp32,kernel,43.10713476927184,42.781322493888645,49.973352277927056,True
bem,131072,fp64,e2e,1.2913472168689866,1.2683830182990437,1.4865004272646296,True
bem,131072,fp64,kernel,1.6635727052473452,1.6317458935423739,1.930607143516542,True
bem,524288,adaptive_frozen_v1,e2e,1.4487302077076314,1.4274163234682087,1.4659052510144663,True
bem,524288,adaptive_frozen_v1,kernel,1.964460163165517,1.8780203558718847,1.9658704338138977,True
bem,524288,adaptive_no_gradient_gate,e2e,1.4505996621131083,1.4136040178663456,1.4598658903079205,True
bem,524288,adaptive_no_gradient_gate,kernel,1.96696209819827,1.9627510559121872,1.96939479945592,True
bem,524288,fp32,e2e,5.131611350791735,5.043974420752328,5.2558779365071,True
bem,524288,fp32,kernel,54.746541692358136,54.61655222630784,54.78530582069514,True
bem,524288,fp64,e2e,1.4676969909400235,1.4317402820904759,1.485448883282679,True
bem,524288,fp64,kernel,2.001587093577302,1.9563422170707307,2.003329786313101,True
