index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
197,0,1,1.506796021288892e-09,5.349562202414268e-07,3.4067873489806522e-07,2.1147762302627801e-10,0,0
198,0,1,5.6228799394375528e-11,4.032922515756173e-07,3.383119592511022e-07,9.3713559319198673e-12,0,0
199,0,1,8.7607698873171103e-11,5.5333669975848274e-07,5.7275825957886913e-07,1.095251295764228e-11,0,0
200,0,1,7.5495165674510645e-15,1.4504602232841441e-07,1.3336818059566822e-07,3.820966770711439e-15,0,0
201,1,1,1.3470780046986874e-10,2.8305559705565108e-07,3.1480225283863261e-07,5.4876726131351246e-11,0,0
202,0,0,2.2204460492503131e-15,1.5347941208158119e-08,1.7632566894048044e-08,3.5204246529610731e-15,0,0
203,0,1,5.4275695049454953e-11,9.6595018679504554e-07,8.8757622639153582e-07,3.575955898551852e-12,0,0
204,1,0,4.3698378249246161e-13,2.8672888380414711e-08,2.5878070177668404e-08,3.3356135286118766e-13,0,0
205,0,0,1.8327561690512084e-10,2.863260886304629e-10,2.863260886304629e-10,1.8857010397610452e-10,0,0
206,0,1,1.2891909761947318e-10,3.7270781945720322e-07,2.2954224502616481e-07,2.170477223066592e-11,0,0
207,0,1,1.0887148960136983e-09,8.8575304692084158e-07,1.4074633383784887e-06,1.5779602882021027e-10,0,0
208,0,1,2.8938469398553934e-09,4.4056880591024594e-07,1.7768097368879862e-06,4.1475422074956855e-10,0,0
209,0,1,4.1255887595070817e-12,4.7742934575315799e-07,6.3465015279397094e-07,4.2420527688258958e-13,0,0
210,0,1,9.9600327985172044e-12,2.7538096116026886e-07,3.8561394456256554e-07,1.2641613420893126e-12,0,0
211,0,1,1.0774319214590378e-09,1.6232995087449294e-06,2.8550094017515227e-06,3.1218101499171982e-11,0,0
212,0,1,2.1040946762695967e-12,1.0285672292790027e-06,9.7441397188371192e-07,2.959801778629329e-13,0,0
213,0,1,1.2108092306561957e-11,1.7622886299295199e-07,2.0794411540305443e-07,5.6236308717006153e-12,0,0
214,0,0,5.340172748447003e-12,2.2851328102555982e-08,3.6993511167635166e-08,3.9618962939220839e-12,0,0
215,1,0,1.1799450305716164e-11,2.4366468788470798e-08,2.4936279193516865e-08,1.8343917173970911e-11,0,0
216,0,0,2.886579864025407e-14,7.3543786823160006e-10,6.5855493409884e-10,2.8272336168218922e-14,0,0
217,0,1,2.2226664952995634e-12,1.1696799582234764e-07,1.0829572073381628e-07,1.1643654027628747e-12,0,0
218,0,1,6.9322325657594774e-13,1.4174295395040388e-07,1.7022784789526306e-07,3.498582725567711e-13,0,0
219,0,1,1.1026735080577055e-12,1.3796492245033628e-07,1.2421048877942428e-07,5.5747351373743458e-13,0,0
