domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
kepler,8,adaptive_no_gradient_gate_v3,0.106748253107,0.112561918795,nan,0.0749426783778,0.0710719938469,1,71.9263897774
kepler,8,fp32,0.0102400323376,0.0126416003332,nan,0.781247532844,0.632831270501,0,71.8890218548
kepler,8,fp64,0.0965409353375,0.0997488051653,nan,0.082866402444,0.0802014619297,1,71.9263897774
kepler,32,fp64,0.108734846115,0.122368954122,nan,0.294293882259,0.261504237162,1,447.458383108
kepler,32,adaptive_frozen_v3,0.118968546391,0.134609609842,nan,0.268978658401,0.237724483694,1,447.458383108
kepler,32,adaptive_no_gradient_gate_v3,0.118968442082,0.134557768703,nan,0.268978894233,0.237816071926,1,447.458383108
kepler,32,fp32,0.0102394558489,0.0196326393634,nan,3.12516607055,1.62993876716,0,447.210412983
kepler,128,fp64,0.120046429336,0.134687677026,nan,1.06625412108,0.950346778759,1,1724.55615534
kepler,128,adaptive_frozen_v3,0.130079686642,0.135287672281,nan,0.98401221055,0.94613202993,0.953125,1724.55615495
kepler,128,adaptive_no_gradient_gate_v3,0.130108237267,0.135983034968,nan,0.983796281382,0.941293890299,0.953125,1724.55615495
kepler,128,fp32,0.0102395517752,0.0199164804071,nan,12.5005471734,6.42683834611,0,1723.62020378
kepler,512,fp64,0.197129279375,0.208796486259,nan,2.59728033108,2.4521485451,1,6968.58034376
kepler,512,adaptive_frozen_v3,0.209571167827,0.221127688885,nan,2.44308415757,2.31540429234,0.947265625,6968.5803432
kepler,512,adaptive_no_gradient_gate_v3,0.209571927786,0.221115842462,nan,2.44307529834,2.31552834162,0.947265625,6968.5803432
kepler,512,fp32,0.0122878085822,0.0220960006118,nan,41.6673157443,23.1716141303,0,6964.3042945
kepler,2048,fp64,0.199456334114,0.212374404073,nan,10.2679115662,9.64334665913,1,28210.7605264
kepler,2048,adaptive_frozen_v3,0.211877763271,0.224604800344,nan,9.66595063295,9.11823788658,0.94580078125,28210.7605267
kepler,2048,adaptive_no_gradient_gate_v3,0.211894080043,0.225254386663,nan,9.66520631245,9.09194280447,0.94580078125,28210.7605267
kepler,2048,fp32,0.0123020801693,0.0257440004498,nan,166.475910725,79.5525157015,0,28192.6514974
kepler,8192,fp64,0.204213753343,0.245068788528,nan,40.1148300049,33.4273493136,1,112785.479077
kepler,8192,adaptive_frozen_v3,0.216536954045,0.257728010416,nan,37.8318797183,31.7854469399,0.94580078125,112785.479074
kepler,8192,adaptive_no_gradient_gate_v3,0.216501757503,0.257382392883,nan,37.8380300211,31.8281289883,0.94580078125,112785.479074
kepler,8192,fp32,0.0123020801693,0.0513216033578,nan,665.9036429,159.620889918,0,112716.824463
